Comida,Precio
Bangers and mash,5257
Agua de alfalfa,6436
Flan,2580
Sandwich,5343
Falafel,17851
Antipasto,11227
Rosti,6808
Quesadilla,2388
Entomatadas,8318
Atole,3503
Chow mein,15317
Gyros,7809
Tamales,7704
Gyros,5716
Agua de apio,10820
Tacos al pastor,9598
Bratwurst,8932
Eton mess,8936
Agua de limon con chia,19225
Agua de durazno,5932
Agua de nopal,14019
Tapas,11014
Pho,5250
Agua de apio,11852
Jamaica,19013
Agua de ciruela,2712
Michelada,7509
Bratwurst,9097
Raclette,4568
Sopes,3387
Tacos al pastor,5655
Tamarindo,14597
Kimchi,8435
Chocomilk,1606
Tandoori,13302
Pico de gallo,2558
Goulash,4735
Margarita,4770
Agua de ciruela,6073
Chimichanga,10514
Ramen,19681
Hummus,19032
Pinia colada,10431
Flautas,10339
Ramen,13833
Agua de platano,4337
Chocolate abuelita,12354
Chiles en nogada,9384
Rosti,1323
Aguachile,18859
Ramen,10247
Agua de sandia,2979
Fondue,12917
Flan,12984
Antipasto,4231
Fajitas,8690
Ugali,2314
Borscht,18715
Agua de apio,9684
Tamales,9218
Ceviche,10631
Hamburguesa,9302
Burrito,15277
Agua de avena,5899
Gelato,5722
Huaraches,15169
Sopa de tortilla,19526
Agua de alfalfa,15212
Croque monsieur,10941
Chili con carne,4883
Tandoori,10474
Jambalaya,3477
Fish and chips,12744
Taco,15637
Menudo,10568
Caldo de pollo,4593
Agua de coco,14103
Guajolote,14539
Beef Wellington,12328
Fondue,16682
Agua de coco,16725
Baklava,11444
Chow mein,5970
Bouillabaisse,19345
Poutine,9790
Fufu,4315
Agua de nopal,16160
Hamburguesa,12417
Salsa roja,5625
Licuado,18520
Agua de zanahoria,8107
Carne asada,7535
Horchata,7610
Pizza,8466
Bibimbap,19268
Biryani,16176
Gyros,18306
Gelato,16628
Tepache,18378
Fufu,13463
Ploughman's lunch,10320
Ratatouille,10318
Sopa de tortilla,11077
Agua de sandia,11986
Goulash,3389
Guacamole,17159
Clamato,18685
Pico de gallo,9832
Tamales oaxaquenios,16388
Cannoli,4267
Black pudding,2316
Pozol,14072
Menudo,4659
Agua de platano,4552
Caldo de camaron,2692
Chiles rellenos,11269
Buniuelos,4691
Agua de alfalfa,18789
Birria,3686
Paella,16400
Conchas,13845
Rajas con crema,5830
Beef Wellington,12580
Atole,2758
Agua de perejil,1905
Sushi,11094
Agua de fresa,16732
Ratatouille,15069
Agua de platano,18515
Burrito,16163
Birria,15471
Taco,17869
Agua de zanahoria,12260
Croissant,18780
Rosti,16421
Kimchi,4421
Michelada,7007
Pipian,1773
Maki,4935
Couscous,17553
Couscous,9002
Baklava,3671
Churros,6061
Pipian,13862
Agua de fresa,7355
Bunny chow,2976
Tamales,5248
Agua de zanahoria,4205
Carne asada,9969
Haggis,3735
Entomatadas,4113
Tlayudas,17751
Empanada,13276
Agua de limon con chia,3056
Chiles en nogada,11036
Pozole,17472
Tiramisu,9757
Pozole,7357
Malva pudding,2531
Pozol,7853
Agua de linaza,15159
Baguette,5445
Aguamiel,9158
Jamaica,11167
Chow mein,7698
Antipasto,19340
Chocomilk,12569
Agua de pepino,6313
Agua de durazno,7129
Caldo de res,10646
Churros,2512
Pico de gallo,1799
Ceviche,10230
Picadillo,9373
Empanada,7446
Pico de gallo,9644
Biryani,16430
Margarita,15360
Agua de limon,18404
Burrito,7507
Kebab,14670
Aguamiel,2769
Sopes,6446
Kofta,14121
Ploughman's lunch,3924
Jambalaya,15853
Enchiladas,10465
Agua de papaya,11039
Fish and chips,12723
Fufu,9672
Agua de mango,13979
Ensalada,13860
Pad thai,17376
Agua de pepino con limon,17085
Curanto,14490
Rosti,12844
Pierogi,6383
Barbacoa,15093
Clamato,4302
Caldo de pollo,12888
Agua de apio,1519
Bunny chow,6476
Huaraches,11822
Tapas,12547
Birria,2022
Agua de sandia,5986
Tempura,1071
Maki,5544
Churrasco,11471
Pipian,13787
Pozol,5800
Haggis,9315
Tepache,6330
Pizza,4544
Michelada,19148
Agua de durazno,4874
Agua de perejil,13163
Tlayudas,14022
Pizza,5293
Aguachile,17421
Ploughman's lunch,1911
Salsa roja,7272
Chiles rellenos,18626
Barbacoa,14152
Maki,11142
Tequila,17230
Kofta,17259
Entomatadas,7468
Chapulines,2400
Guacamole,15073
Quesadilla,4211
Gnocchi,7800
Guajolote,9890
Couscous,19382
Tagine,1963
Cassoulet,17028
Pastel de choclo,17274
Ramen,11945
Tagine,2088
Dim sum,12610
Carne asada,15177
Empanada,2716
Rosti,16310
Chow mein,5700
Champurrado,11953
Agua de tamarindo,13374
Tandoori,17801
Margarita,2577
Waffles,14461
Tamales,13385
Carne asada,12127
Dim sum,11729
Aguamiel,6425
Sopa de tortilla,5785
Chow mein,6967
Margarita,5351
Agua de alfalfa,11222
Agua de zanahoria,8182
Mezcal,19446
Pulque,15076
Horchata,11615
Chilaquiles,14419
Couscous,9627
Biryani,11099
Ceviche,10921
Caldo de pollo,9137
Taco,2979
Carne asada,6193
Gelato,2868
Pan de muerto,3829
Barbacoa,17510
Buniuelos,4528
Michelada,13966
Huevos rancheros,10709
Gelato,16195
Agua de fresa,12701
Gelato,4521
Tlacoyo,10783
Rosti,14813
Jamaica,8075
Poutine,4815
Churros,3407
Nachos,13955
Ramen,18263
Tequila,9469
Jollof rice,1717
Dim sum,16277
Pinia colada,2905
Barbacoa,16760
Rompope,3521
Agua de linaza,13589
Michelada,12810
Pasta,18188
Chocomilk,19062
Agua de limon,9397
Steak tartare,14475
Taco,17712
Frito pie,13032
Agua de espinaca,13240
Creme brulee,12140
Agua de papaya,13132
Agua de nopal,13155
Goulash,9651
Champurrado,12432
Buniuelos,15179
Steak tartare,2374
Rillettes,17427
Tempura,10246
Salsa verde,15366
Tortilla espaniola,16734
Atole,13957
Rompope,11899
Nachos,13867
Tempura,5652
Jamaica,7167
Fufu,5234
Rillettes,14671
Borscht,2657
Mezcal,9134
Pulque,9870
Tepache,1781
Baguette,12638
Fish and chips,8913
Nachos,19987
Fajitas,2173
Chili con carne,13552
Entomatadas,10216
Beef Wellington,14443
Croque monsieur,1992
Agua de jamaica,6101
Bunny chow,9491
Agua de nopal,19578
Chocolate abuelita,2645
Maki,11114
Tortilla espaniola,5959
Fufu,1499
Tamarindo,12592
Chili con carne,11626
Chow mein,8783
Malva pudding,15196
Picadillo,2412
Caldo de res,13435
Rompope,15364
Biryani,12450
Ensalada,12493
Ensalada,16529
Ugali,3145
Agua de durazno,15078
Atole,4552
Guacamole,5380
Clam chowder,9369
Chow mein,16710
Bunny chow,4404
Gnocchi,19181
Pinia colada,18819
Tepache,8282
Burrito,12005
Bratwurst,1356
Sauerbraten,19710
Rillettes,7440
Guajolote,19791
Huevos rancheros,13210
Pan de muerto,4861
Agua de pepino,16961
Menudo,5354
Barbacoa,11661
Quesadilla,11341
Enchiladas,5310
Jambalaya,17518
Barbacoa,17675
Samosa,1535
Tamarindo,2189
Nachos,14745
Sangrita,8725
Sandwich,11060
Agua de pepino con limon,2838
Pho,9880
Pulque,14311
Kimchi,5239
Conchas,12170
Agua de limon con chia,18595
Champurrado,15949
Clam chowder,6507
Huevos rancheros,3266
Tandoori,11634
Huevos rancheros,5820
Agua de durazno,18882
Mole poblano,10078
Kebab,13240
Salsa verde,7266
Teriyaki,16511
Rosti,2698
Sushi,11870
Enchiladas,19462
Hamburguesa,15621
Chiles rellenos,19528
Agua de chia,2793
Rajas con crema,2043
Agua de cebada,8574
Agua de horchata,2317
Agua de jicama,17432
Haggis,5492
Horchata,2618
Agua de papaya,11430
Ploughman's lunch,18975
Pico de gallo,19585
Agua de apio,11091
Paella,17699
Chiles en nogada,5058
Frito pie,9333
Gumbo,5751
Sandwich,6733
Bouillabaisse,1750
Steak tartare,11399
Caldo de res,8773
Barbacoa,5151
Jambalaya,9210
Chocolate abuelita,11408
Chelada,14290
Birria,4760
Rompope,19119
Bunny chow,2023
Agua de nopal,8913
Shepherd's pie,6501
Pierogi,7784
Chocomilk,17111
Taco,9132
Tacos al pastor,18338
Agua de ciruela,18291
Couscous,9130
Tlacoyo,16928
Guacamole,18517
Gyros,16026
Hummus,4954
Jambalaya,17471
Bobotie,3408
Bouillabaisse,18182
Hamburguesa,9465
Licuado,19448
Cannoli,16702
Yorkshire pudding,19949
Enchiladas,12884
Tamarindo,11486
Lobster roll,4573
Licuado,19772
Frito pie,19002
Guajolote,14920
Pasta,10669
Ramen,17707
Chimichanga,4141
Chocolate abuelita,2929
Clam chowder,4904
Croissant,17627
Agua de alfalfa,1907
Menudo,7221
Pasta,16219
Chili con carne,18603
Eton mess,12415
Teriyaki,4386
Chiles rellenos,10848
Agua de linaza,16692
Tamarindo,12210
Chimichanga,5024
Menudo,10719
Aguamiel,18232
Ensalada,15676
Huevos rancheros,16525
Agua de pepino,18950
Chapulines,11963
Ensalada,13208
Clamato,2461
Tagine,3330
Agua de pepino con limon,16102
Salsa roja,12386
Agua de apio,18141
Menudo,12754
Guacamole,19434
Rajas con crema,19741
Tejuino,12302
Michelada,18193
Chakalaka,13660
Hamburguesa,4645
Mole,2189
Chili con carne,12133
Kebab,11713
Caldo tlalpenio,17389
Creme brulee,11083
Caldo tlalpenio,12999
Tamarindo,5447
Fondue,11365
Sopes,4560
Pho,16163
Conchas,6270
Bratwurst,17634
Banh mi,17174
Samosa,7513
Atole,13918
Chiles en nogada,8666
Pozol,15829
Gyros,8440
Flautas,12593
Gyros,6093
Agua de betabel,5184
Gorditas,9627
Barbacoa,18354
Rillettes,7936
Agua de betabel,15301
Tandoori,3762
Rompope,14968
Churros,16407
Fondue,16478
Lasagna,11173
Chakalaka,4122
Pasta,13930
Champurrado,4106
Empanada,1837
Chapulines,9564
Huevos rancheros,12458
Kebab,19122
Falafel,2811
Caldo tlalpenio,16002
Agua de pepino con limon,8489
Pasta,7155
Gumbo,13117
Agua de platano,14732
Tamarindo,9917
Arepa,9990
Tlacoyo,8919
Sopa de tortilla,5348
Aguachile,15698
Ceviche,17621
Agua de pepino,16250
Baklava,5102
Empanada,11743
Sauerbraten,18111
Agua de betabel,13597
Quesadilla,17420
Agua de avena,6164
Margarita,9124
Pinia colada,17813
Biryani,10556
Agua de limon,17409
Agua de chia,17143
Croissant,17223
Malva pudding,7700
Pambazo,6106
Kimchi,18473
Sangrita,8373
Agua de limon con chia,10324
Croque monsieur,3113
Sopes,5636
Yorkshire pudding,7264
Black pudding,1340
Chelada,7356
Agua de cebada,4113
Agua de avena,14092
Chakalaka,17909
Huaraches,19958
Tapas,17091
Pico de gallo,16595
Agua de chia,7253
Buniuelos,15108
Caldo de pollo,8466
Bunny chow,7469
Agua de chia,6730
Chapulines,15538
Borscht,2012
Couscous,8884
Agua de guayaba,10909
Agua de avena,14226
Pho,4601
Chapulines,3994
Yorkshire pudding,8185
Fajitas,16486
Caldo de pollo,15959
Pasta,16041
Quesadilla,15635
Gnocchi,15708
Rosti,9889
Picadillo,15940
Salsa verde,7903
Agua de pinia,13442
Carne asada,5431
Chakalaka,1106
Agua de melon,5058
Chili con carne,18493
Tlayudas,2812
Gnocchi,8922
Gorditas,12119
Chelada,3146
Clamato,10387
Pico de gallo,19322
Rillettes,9289
Agua de coco,9223
Pico de gallo,15279
Entomatadas,1406
Taco,15018
Aguamiel,6481
Raclette,2725
Agua de alfalfa,1837
Bobotie,15303
Eton mess,3543
Yorkshire pudding,18629
Quesadilla,8419
Margarita,19099
Ensalada,10375
Tepache,12330
Michelada,14571
Pulque,13945
Steak tartare,14467
Salsa roja,16540
Gorditas,7379
Pan de muerto,11714
Picadillo,4515
Bangers and mash,18869
Caldo tlalpenio,12910
Burrito,10750
Empanada,16114
Agua de limon,12966
Teriyaki,9430
Hamburguesa,1881
Caldo de pollo,6093
Poutine,9525
Tamales,16111
Cassoulet,6507
Frito pie,12064
Agua de mango,16513
Agua de durazno,17478
Agua de nopal,3441
Jollof rice,13750
Ensalada,14364
Agua de melon,13565
Chiles rellenos,9891
Kebab,12178
Shepherd's pie,10906
Agua de limon con chia,18478
Tamales,16381
Curry,5168
Bangers and mash,17245
Rosti,13949
Beef Wellington,14003
Pozole,1458
Agua de ciruela,14946
Mezcal,16542
Gyros,5799
Agua de perejil,8285
Eton mess,7969
Caldo de camaron,18818
Jollof rice,11847
Tagine,9914
Chilaquiles,5881
Shawarma,13715
Agua de limon,15729
Kofta,16004
Rajas con crema,13743
Pasta,2676
Menudo,19159
Agua de pepino,16953
Barbacoa,6855
Tlacoyo,15827
Tempura,8536
Cassoulet,14466
Pasta,2118
Falafel,18505
Chocolate abuelita,12803
Sopa de tortilla,1568
Bratwurst,13822
Shawarma,11529
Bouillabaisse,6906
Baguette,12881
Steak tartare,3889
Buniuelos,18129
Tiramisu,10838
Tandoori,9745
Kofta,17387
Pipian,15288
Cassoulet,16931
Agua de guayaba,14415
Conchas,8832
Agua de tuna,17439
Waffles,13842
Burrito,1873
Agua de platano,6300
Caldo tlalpenio,19151
Agua de apio,14241
Entomatadas,7424
Pozole,17197
Chilaquiles,13918
Caldo tlalpenio,14591
Guajolote,3040
Kimchi,19230
Pico de gallo,1803
Margarita,12542
Tlayudas,3340
Poutine,8060
Sangrita,8028
Dim sum,19979
Pipian,16194
Huaraches,14191
Agua de durazno,6654
Caldo de camaron,16321
Agua de mango,4883
Caldo tlalpenio,11300
Agua de perejil,18944
Chilaquiles,2549
Churros,13871
Pan de muerto,16285
Paella,15087
Ramen,4529
Tempura,13201
Chakalaka,14760
Creme brulee,4864
Churrasco,13419
Sandwich,10701
Pambazo,5942
Pozol,13205
Huaraches,4945
Croque monsieur,19157
Barbacoa,9870
Tejuino,3719
Pierogi,6341
Bunny chow,18427
Chapulines,16116
Ramen,11847
Cazuela,13367
Black pudding,10213
Hamburguesa,3252
Malva pudding,9704
Croissant,17730
Huaraches,7710
Huevos rancheros,18525
Gumbo,7672
Bangers and mash,13569
Bouillabaisse,2665
Croque monsieur,14039
Tlayudas,18418
Steak tartare,15870
Guajolote,3110
Pinia colada,2596
Banh mi,19428
Pan de muerto,14140
Agua de limon,4623
Chiles en nogada,17560
Agua de mango,1131
Salsa roja,8204
Pozol,13144
Caldo de res,12679
Burrito,12225
Salsa verde,9400
Tequila,18006
Couscous,2338
Taco,10459
Picadillo,6974
Tequila,8363
Champurrado,11364
Chelada,5953
Atole,7498
Agua de zanahoria,3789
Quesadilla,15508
Fajitas,16235
Agua de sandia,17238
Barbacoa,12453
Bouillabaisse,2729
Cannoli,1070
Birria,8506
Agua de alfalfa,17133
Pho,3416
Agua de cebada,11504
Agua de durazno,4184
Tepache,3608
Rompope,14756
Croque monsieur,6819
Agua de perejil,7895
Tejuino,6760
Tortilla espaniola,13515
Agua de coco,4944
Pho,16938
Tapas,16845
Tejuino,15893
Chili con carne,13230
Bobotie,17112
Agua de durazno,2042
Antipasto,4597
Agua de tamarindo,3698
Curry,14405
Bibimbap,1241
Chilaquiles,15297
Tempura,5212
Champurrado,7733
Conchas,19511
Agua de alfalfa,17088
Mole poblano,13416
Agua de chia,8597
Pierogi,11759
Barbacoa,7557
Carnitas,1396
Jambalaya,8337
Chow mein,13572
Ensalada,14098
Aguachile,17513
Dim sum,8581
Aguachile,1954
Paella,5728
Hamburguesa,1445
Menudo,14129
Ceviche,13689
Chiles rellenos,11842
Chilaquiles,9302
Agua de nopal,2560
Pasta,10698
Sangrita,18076
Chow mein,10437
Michelada,5787
Sopes,1197
Chiles rellenos,13387
Churros,19329
Croissant,18845
Tequila,3114
Pico de gallo,1382
Molletes,14255
Burrito,3657
Huevos rancheros,15892
Gumbo,17840
Crepes,10389
Agua de cebada,18480
Nachos,11174
Sandwich,14457
Tempura,13239
Agua de cebada,1076
Tortilla espaniola,7749
Pierogi,5778
Biryani,4808
Curanto,5506
Agua de cebada,1128
Antipasto,5127
Clamato,10932
Tortilla espaniola,18016
Agua de pinia,9033
Paella,13268
Taco,15104
Churrasco,19842
Hummus,18448
Agua de espinaca,9526
Creme brulee,12979
Agua de jicama,12290
Cafe de olla,9561
Chiles en nogada,18460
Kimchi,11694
Pozol,1892
Gorditas,17277
Tortilla espaniola,14048
Chocolate abuelita,12510
Tandoori,6450
Biryani,11755
Horchata,19688
Gnocchi,3134
Churrasco,3150
Chili con carne,6977
Nachos,17408
Paella,5529
Tequila,9024
Bibimbap,9815
Agua de pepino,15903
Ramen,7720
Enchiladas,13832
Michelada,2127
Hamburguesa,11621
Caldo de camaron,19071
Agua de pepino con limon,16971
Tagine,6964
Rillettes,15527
Margarita,8290
Agua de chia,6347
Sticky toffee pudding,13964
Huevos rancheros,2986
Ramen,6853
Agua de pepino,13792
Agua de pepino,8752
Sticky toffee pudding,10190
Kofta,8743
Eton mess,12724
Poutine,16204
Bratwurst,8866
Croissant,13868
Rosti,1400
Dim sum,15852
Creme brulee,16385
Quesadilla,4432
Cassoulet,17249
Agua de tuna,11311
Rajas con crema,1673
Buniuelos,16130
Menudo,13614
Agua de melon,14847
Mezcal,3757
Beef Wellington,19846
Agua de zanahoria,16571
Tagine,1647
Cafe de olla,18894
Agua de alfalfa,6145
Agua de melon,13947
Caldo de camaron,5876
Agua de pepino,15978
Barbacoa,12720
Agua de pepino,19893
Guacamole,3251
Curanto,1186
Lobster roll,3579
Agua de sandia,1378
Chimichanga,13287
Pan de muerto,7904
Carne asada,10626
Michelada,6488
Rompope,18476
Fajitas,16377
Mole,1028
Antipasto,1008
Arepa,9608
Salsa roja,4169
Agua de jicama,6504
Agua de chia,10187
Agua de tamarindo,9551
Fufu,9947
Arepa,13511
Empanada,8212
Pipian,2319
Chiles en nogada,14468
Pico de gallo,7699
Tagine,4914
Molletes,10644
Bangers and mash,2476
Carne asada,18129
Mole,3272
Agua de zanahoria,3750
Agua de chia,1764
Aguachile,13507
Entomatadas,11231
Pad thai,10879
Agua de limon con chia,17943
Chelada,5415
Eton mess,8021
Chimichanga,8317
Dim sum,6588
Falafel,8929
Conchas,1497
Quesadilla,12200
Tacos al pastor,17877
Pollo frito,9803
Agua de durazno,12098
Agua de apio,16099
Clam chowder,17072
Tiramisu,12946
Lobster roll,5787
Sticky toffee pudding,19544
Horchata,14538
Menudo,15335
Caldo tlalpenio,6043
Bunny chow,17391
Bouillabaisse,2331
Agua de perejil,14602
Sopes,18511
Entomatadas,10887
Fufu,9811
Lasagna,1376
Teriyaki,5181
Bibimbap,12771
Agua de pepino con limon,13287
Chakalaka,3803
Taco,6253
Michelada,4423
Kimchi,13534
Ensalada,18582
Agua de pinia,11819
Pan de muerto,13751
Sauerbraten,3713
Croque monsieur,14060
Agua de tamarindo,19857
Molletes,14632
Chocolate abuelita,5800
Horchata,3535
Menudo,15963
Bouillabaisse,6521
Tandoori,10652
Agua de mango,5074
Samosa,8176
Burrito,14282
Chocolate abuelita,9469
Steak tartare,19310
Pozole,3706
Chelada,8863
Pico de gallo,8806
Paella,15236
Dim sum,10498
Jamaica,10344
Chiles en nogada,1662
Bruschetta,18269
Nachos,13151
Kebab,15672
Buniuelos,10547
Agua de ciruela,14271
Tamarindo,7505
Sangrita,5069
Chiles en nogada,5526
Baklava,15406
Picadillo,12818
Frito pie,15345
Black pudding,9256
Tlayudas,14237
Creme brulee,1135
Baklava,18194
Chakalaka,9165
Fish and chips,7682
Cazuela,4523
Agua de pinia,13571
Creme brulee,4679
Sopa de tortilla,1314
Jamaica,11693
Tiramisu,16745
Chocolate abuelita,14267
Banh mi,18287
Carnitas,14674
Agua de apio,18819
Tlayudas,12101
Chili con carne,19494
Teriyaki,4312
Agua de tamarindo,1090
Agua de pepino,16152
